Kategori,İşlem Türü,Açıklama,Uygulanan Ürün Grupları,CO2 (kgCO2e/ürün)
Kaplama & Astar,PU / PVC Kaplama,Sentetik film kaplama,"Dış giyim, Çanta, Aksesuar",0.30-0.50
Kaplama & Astar,Wax Kaplama,Balmumu kaplama,"Dış giyim, Denim",0.20-0.40
Kaplama & Astar,Laminasyon,İki yüzeyin lamine edilmesi,"Teknik giyim, Dış giyim",0.40-0.70
Taşlama & Eskitme,Kumlama (Sandblasting),Yüzey aşındırma,"Denim, İş giyim",0.40-0.60
Taşlama & Eskitme,El Taşlama,Manuel eskitme,"Denim, Casual",0.20-0.35
Taşlama & Eskitme,Lazer Eskitme,Lazerle desen/eskitme,"Denim, Moda",0.10-0.20
Taşlama & Eskitme,Whiskers (Bıyık Efekti),Denim’de büküm çizgileri,"Denim pantolon, Ceket",0.15-0.25
Bitim & Apre İşlemleri,Anti-Pilling Finish,Tüylenme önleyici,"Tişört, Sweatshirt",0.10-0.20
Bitim & Apre İşlemleri,Su itici (Water-repellent) Finish,Su geçirmezlik,"Dış giyim, Outdoor",0.30-0.50
Bitim & Apre İşlemleri,Parlak / Mat Kaplama,Yüzey görünümü değiştirir,"Moda, Aksesuar",0.25-0.40
Bitim & Apre İşlemleri,Resin Finish,Sertlik / tutum kazandırır,"Denim, Dış giyim",0.30-0.50
Sıcak Transfer & Folyo,Heat Transfer,Isıyla transfer desen,"Spor giyim, Tişört",0.15-0.25
Sıcak Transfer & Folyo,Plastisol Transfer,Plastisol bazlı transfer baskı,"Spor giyim, Aktif giyim",0.20-0.35
Sıcak Transfer & Folyo,PU / PVC Transfer,Plastik bazlı transfer,"Streetwear, Spor giyim",0.25-0.40
Dekoratif İşlemler,Flock Baskı,Kadife efekt,"Tişört, Sweatshirt",0.20-0.35
Dekoratif İşlemler,Kabartma (Emboss/Deboss),Yüzey kabartma / çökertme,"Moda, Premium giyim",0.25-0.40
Dekoratif İşlemler,Lazer Kesim,Desen kesim,"Denim, Streetwear",0.10-0.20
Dekoratif İşlemler,Burn-out (Yanık),Kumaşın bir kısmını yakarak desen,"Moda, Premium, Casual",0.40-0.60
Aksesuar Eklemeler,Studs (Zımbalar),Metal dekor,"Denim, Streetwear, Aksesuar",0.05-0.15
Aksesuar Eklemeler,Rivet,Metal perçin,"Denim, Çanta, Ceket",0.05-0.15
Aksesuar Eklemeler,Boncuk / Payet,Dekoratif ekleme,"Kadın abiye, Çocuk",0.20-0.40
Aksesuar Eklemeler,Taş Yapıştırma,"Kristal, taş, strass","Kadın giyim, Moda",0.25-0.45
Aksesuar Eklemeler,"Zincir, Metal Detay",Dekoratif metal,"Denim, Streetwear",0.20-0.40
Özel Efektler,Metalik Kaplama,Altın / gümüş görünüm,"Moda, Premium",0.30-0.50
Özel Efektler,UV Reactive Baskı,Işık altında renk değiştirir,"Streetwear, Moda",0.25-0.40
Özel Efektler,Glow-in-the-Dark,Karanlıkta parlayan efekt,"Çocuk giyim, Spor giyim",0.25-0.40
Özel Efektler,Holografik Transfer,Hologram görünümlü desen,"Moda, Genç giyim",0.30-0.50
